X,Y,OBJECTID,COD_SIG_TR,COD_VIA,DESIGNACAO,HIERARQUIA,EIXO,TIPOLOGIA,SITUACAO,DUPL_TROC,ZONA,COMPRIMENTO,IDTIPO,SITUACAO_PROJ_OBRA,FREGUESIA,ZONAMENTO,ORCAMENTO,NOME_PROJETO,SITUACAO_PROJ,ANO,PERIODO,PLANEAMENTO_GVMG,TIPOLOGIA_AML,ESTADO_AML,F_PRINCIPAL,SGPI,VALIDACAO,GlobalID,Shape__Length
-9.18994251541111,38.7517103218813,1974,B0000214,B0000214,Parque Quinta da Granja - Telheiras,Local,,Pista Ciclável Bidirecional,Executado,N,-,389.32,9196,,Benfica,,0,Parque Quinta da Granja - Telheiras,,2017,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,ea6f3d31-b874-4f14-bc20-5f1e434202cf,499.567760321866
-9.17532264629902,38.7587350736834,1975,B0000215,B0000215,Ponte ciclo-pedonal sobre a 2ª Circular,Complementar,,Percurso Ciclo-pedonal,Executado,N,-,16.86,9196,,Lumiar,,0, ,,2017,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,76ed2568-9a6b-47e5-b715-9a8204f938bc,21.6682583310913
-9.1634130330832,38.7598132330188,1992,B0000085,B0000085,Telheiras-Campo Grande,Complementar,,Pista Ciclável Bidirecional,Executado,N,-,109.4,9196,,Lumiar,,0, ,,2010,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,8cb6be2d-d404-47fa-87b1-96659f4d8f89,140.146831759533
-9.16266068729388,38.7598728429233,1993,B0000173,B0000173,Telheiras-Campo Grande,Complementar,,Percurso Ciclo-pedonal,Executado,N,-,193.42,9196,,Lumiar,,0, ,,2010,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,0c97f03d-2ce2-4b30-9553-ede1fdc7b197,247.689924320978
-9.18184783530552,38.7602613081042,2006,B0000216,B0000216,Parque Quinta da Granja - Telheiras,Complementar,,Pista Ciclável Bidirecional,Executado,N,-,379.94,9196,,Carnide,,0,Parque Quinta da Granja - Telheiras,,2017,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,216aa837-2706-432b-8dea-c7d1358de01a,486.603116926416
-9.18199609175656,38.7738882384471,2007,B0000217,B0000217,Parque Quinta da Granja - Parque Quinta Mata Mouros,Complementar,,Pista Ciclável Bidirecional,Executado,N,-,140.97,9196,,Lumiar,,0,Parque Quinta da Granja - Parque Quinta Mata Mouros,,2017,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,acd25b13-02ab-4589-bb07-686589be1c24,180.858458100508
-9.12138546820728,38.7611964036971,2008,B0000218,B0000218,Vale do Silêncio,Principal,Olivais - Beato,Pista Ciclável Bidirecional,Executado,N,-,14.97,9196,,Marvila,,0,Parque Vale de Chelas - Parque das Nações,,2009,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,7d8e36b3-53c6-47da-99f2-5873268ea568,19.2449958805682
-9.13857485962799,38.7406818163068,2009,B0000221,B0000221,Rua Brás Pacheco,Local,,Faixas Cicláveis ou Contrafluxos,Executado,N,-,28.8,9196,,Areeiro,Bº Arco Cego,0,Rua Brás Pacheco,,2017,,,Faixa ciclavel,Executado,Via destinada a funcoes quotidianas,,,0fd7d2d4-0440-4e27-a314-fa13cd8557ce,36.9994279014534
-9.13869107782041,38.7409339735562,2010,B0000220,B0000220,Rua Brás Pacheco,Local,,Faixas Cicláveis ou Contrafluxos,Executado,N,-,30.73,9196,,Areeiro,Bº Arco Cego,0,Rua Brás Pacheco,,2017,,,Faixa ciclavel,Executado,Via destinada a funcoes quotidianas,,,d2285ab8-d1a5-4fae-be89-99b2f3ba8609,39.4851443556443
-9.13881562429382,38.7411987321477,2011,B0000219,B0000219,Rua Brás Pacheco,Local,,Faixas Cicláveis ou Contrafluxos,Executado,N,-,31.92,9196,,Areeiro,Bº Arco Cego,0,Rua Brás Pacheco,,2017,,,Faixa ciclavel,Executado,Via destinada a funcoes quotidianas,,,f06accc1-5eb6-4388-b8a2-8b4ea6b265f7,41.0181625185393
-9.14239005135206,38.7160665393931,2023,8432,34187,Avenida da Liberdade,Principal,Central,30+Bici,Executado,S,DEP,28.86,9196,,Santa Maria Maior,Baixa,0,Avenida da Liberdade,,2013,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,7bdc35f8-36fc-425f-8046-72fb7a1db22b,37.0168743087736
-9.1096274201669,38.7708246589754,2115,B0000252,B0000252,Parque Urbano dos Olivais - Quinta Conde de Arcos,Principal,Olivais - Beato,Pista Ciclável Bidirecional,Executado,N,DMEVAE,541.77,9196,DMEVAE,Olivais,,0,Corredor Verde dos Olivais - Pista Ciclável Troço 24B,Concluído,2018,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,2016.249,,f403a453-ef9a-4c24-b5a8-140549a50840,695.011441862923
-9.17181429307655,38.7365536336304,2125,B0000235,B0000235,Parque Florestal de Monsanto - Avenida Calouste Gulbenkian,Principal,,Pista Ciclável Bidirecional,Executado,N,-,77.66,9196,,Campolide,,0, ,,2010,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,051e44b9-7d3e-4753-8e5f-2234d10d2143,99.5486464711746
-9.1694969764601,38.7298004194016,2158,B0000236,B0000236,Corredor do Vale de Alcântara,Principal,Alcântara - Luz,Pista Ciclável Bidirecional,Executado,N,DMAEVCE,81.17,9196,Concluído,Campolide,Vale de Alcântara,0,Unidade de Projecto Estação de Campolide,,2019,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),2017.281,,66f3a38c-83cb-4f1e-8546-0a971b0af4f0,104.210159478667
-9.18808296158504,38.769958727246,2159,B0000237,B0000237,Parque Quinta da Granja - Parque Quinta Mata Mouros,Local,,Pista Ciclável Bidirecional,Executado,N,-,235.29,9196,,Carnide,,0,Parque Quinta da Granja - Parque Quinta Mata Mouros,,-,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,31ccd20d-678a-496a-ab3a-a16ca688d15f,302.019076085033
-9.17160405715231,38.7255102752412,2161,B0000238,B0000238,Corredor do Vale de Alcântara,Principal,Alcântara - Luz,Pista Ciclável Bidirecional,Executado,N,DMAEVCE,262.06,9196,Concluído,Campolide,Vale de Alcântara,0,Unidade de Projecto Quinta da Bela Flor,,2019,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),2017.283,,8a8b447b-60a5-4e4b-9fd2-53f8357c22eb,336.659652954613
-9.12257897386164,38.7440418555042,2245,B0000240,B0000240,Parque Urbano do Vale da Montanha,Complementar,,Pista Ciclável Bidirecional,Executado,N,DMEVAE,357.18,9196,Concluído,Marvila,,0,Parque Urbano do Vale da Montanha,Concluído,2018,,,Pista ciclavel (ciclovia),Executado,Vias mistas (agrega as duas funcoes anteriores),,,eb201c8c-d3bd-4ab4-8064-6c6e72570b25,458.039257116022
-9.15800946882834,38.7353233976569,2289,5593,67376,Rua Dr. Júlio Dantas,Local,,30+Bici,Executado,S,-,37.02,9196,Concluído,Campolide,Praça Espanha,0, ,Concluído,-,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,60f1f13b-ece2-48b1-a54b-a632b1096a38,47.5726321843906
-9.15790760840958,38.7356831267309,2290,B0000243,B0000243,Rua Dr. Júlio Dantas,Local,,30+Bici,Executado,S,-,32.03,9196,Concluído,Campolide,Praça Espanha,0, ,Concluído,-,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,2667dfce-a5be-4761-b238-67d91adb03ed,41.1642669573415
-9.13839986286992,38.7442745013049,2320,4435,67013,Rua Edison,Local,,30+Bici,Executado,N,DMM,125.84,9196,Concluído,Areeiro,Roma-Areeiro,0,Rua Edison,Concluído,2019,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,2018.147,,0bf3f58d-5ac6-475b-8b92-b5b843362e51,161.226794278122
-9.1957883076355,38.7196639042063,2324,B0000108,B0000108,Alameda Keil do Amaral,Local,,Trilho,Executado,N,-,588.01,9196,,Ajuda,Monsanto,0, ,,-,,,Via banalizada,Executado,Via destinada a funcoes de lazer,,,1a05eb8f-4ec9-4a93-a281-a0f8b2706154,753.760316612133
-9.14539505566545,38.7193625556023,2326,156349,34187,Avenida da Liberdade,Principal,Central,30+Bici,Executado,S,DEP,16.49,9196,,Santo António,Baixa,0,Avenida da Liberdade,,2013,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,276d0b62-1d53-4f06-b752-da096dbe43df,21.174808979848
-9.14442057088092,38.718249124669,2327,156355,34187,Avenida da Liberdade,Principal,Central,30+Bici,Executado,S,DEP,10.06,9196,,Santo António,Baixa,0,Avenida da Liberdade,,2013,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,dffe213e-6d8e-42e8-b1f2-29b148fa8d22,12.9109258055247
-9.14343479741737,38.7171157854008,2328,156368,34187,Avenida da Liberdade,Principal,Central,30+Bici,Executado,S,DEP,7.75,9196,,Santo António,Baixa,0,Avenida da Liberdade,,2013,,,Via banalizada,Executado,Via destinada a funcoes quotidianas,,,2189abea-c549-41ed-9f75-e4824e0ca4a8,9.94863461268299
-9.15732143535813,38.7595316337291,2331,B0000371,B0000371,Telheiras-Campo Grande,Complementar,,Pista Ciclável Bidirecional,Executado,N,-,270.04,9196,,Lumiar,,0, ,,2010,,,Pista ciclavel (ciclovia),Executado,Via destinada a funcoes quotidianas,,,83cd6c63-8be5-4370-ab90-277d25e3df8a,346.265453399409
