X,Y,INF_NOME,INF_DESCRICAO,MORADA1,FREGUESIA
-9.10018939254087,38.7467456050595,Escola Superior de Saúde Ribeiro Sanches,"Privado/Politécnico
","['Galeria Underdogs', ' 56', ' Rua Fernando Palha', ' Chelas', ' Marvila', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1950-087', ' Portugal']",Marvila
-9.16081272769906,38.7815437386335,Instituto Superior de Gestão,"Privado/Universitário
","['Biblioteca e Centro de Documentação Inst. Superior de Gestão', ' 5', ' Rua Victorino Nemésio', ' Charneca', ' Santa Clara', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1750-034 AMEIXOEIRA', ' Portugal']",Santa Clara
-9.16651033640605,38.749685759112,Universidade Católica Portuguesa - Faculdade de Direito ,Privado/Universitário,"['Faculdade de Direito da Universidade Católica Portuguesa Escola de Lisboa', ' Eixo Norte-Sul', ' São Domingos de Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1600-028', ' Portugal']",São Domingos de Benfica
-9.10897210069945,38.7568381980726,Instituto Português de Administração de Marketing de Lisboa,Privado/Politécnico,"['Carglass', ' Avenida Marechal Gomes da Costa', ' Chelas', ' Marvila', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1800-999', ' Portugal']",Marvila
-9.1664760908308,38.74970407801229,Universidade Católica Portuguesa - Faculdade de Ciências Humanas,Privado/Universitário,"['Faculdade de Direito da Universidade Católica Portuguesa Escola de Lisboa', ' Eixo Norte-Sul', ' São Domingos de Benfica', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1600-028', ' Portugal']",São Domingos de Benfica
-9.17588760441689,38.7127344707789,Escola Superior de Saúde da Cruz Vermelha Portuguesa,"Privado/Politécnico
","['Edifício Urbiceuta', ' Rua da Fábrica da Pólvora', ' Santo Amaro', ' Alcântara', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1300-125', ' Portugal']",Alcântara
-9.15243473662713,38.70719825831421,"Instituto de Arte, Design e Empresa - Universitário","Privado/Universitário
","['IADE-Universidade Europeia', ' Avenida Dom Carlos I', ' Santos-o-Velho', ' Estrela', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1200-646', ' Portugal']",Estrela
-9.155652623247411,38.7502903132694,Universidade de Lisboa - Faculdade de Medicina Dentária,,"['Universidade de Lisboa - Cidade Universitária', ' Alameda da Universidade', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1649-028', ' Portugal']",Alvalade
-9.194886137242811,38.7127934660186,Universidade de Lisboa - Faculdade de Arquitectura,,"['Secretaria', ' Rua Sá Nogueira', ' Ajuda', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1349-055', ' Portugal']",Ajuda
-9.16080135053599,38.781552846377004,Instituto Superior de Novas Profissões,"Privado/Politécnico
","['Biblioteca e Centro de Documentação Inst. Superior de Gestão', ' 5', ' Rua Victorino Nemésio', ' Charneca', ' Santa Clara', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1750-034 AMEIXOEIRA', ' Portugal']",Santa Clara
-9.15767153115292,38.7561648129061,Universidade de Lisboa - Instituto de Educação,,"['Faculdade de Ciências da Universidade de Lisboa', ' Campo Grande', ' São João de Brito', ' Alvalade', ' Lisboa', ' Grande Lisboa', ' Área Metropolitana de Lisboa', ' 1749-016', ' Portugal']",Alvalade
